Name,NameEsp,ItemID,ItemNID
Air,Aire,air,0
Stone,Piedra,stone,1
Granite,Granito,granite,2
Polished Granite,Granito pulido,polished_granite,3
Diorite,Diorita,diorite,4
Polished Diorite,Diorita pulida,polished_diorite,5
Andesite,Andesita,andesite,6
Polished Andesite,Andesita pulida,polished_andesite,7
Deepslate,Pizarra profunda,deepslate,8
Cobbled Deepslate,Pizarra profunda rocosa,cobbled_deepslate,9
Polished Deepslate,Pizarra profunda pulida,polished_deepslate,10
Calcite,Calcita,calcite,11
Tuff,Toba,tuff,12
Dripstone Block,Bloque de caliza,dripstone_block,13
Grass Block,Césped,grass_block,14
Dirt,Tierra,dirt,15
Coarse Dirt,Tierra estéril,coarse_dirt,16
Podzol,Podsol,podzol,17
Rooted Dirt,Tierra enraizada,rooted_dirt,18
Mud,Barro,mud,19
Crimson Nylium,Necelio carmesí,crimson_nylium,20
Warped Nylium,Necelio distorsionado,warped_nylium,21
Cobblestone,Roca,cobblestone,22
Oak Planks,Tablones de roble,oak_planks,23
Spruce Planks,Tablones de abeto,spruce_planks,24
Birch Planks,Tablones de abedul,birch_planks,25
Jungle Planks,Tablones de jungla,jungle_planks,26
Acacia Planks,Tablones de acacia,acacia_planks,27
Cherry Planks,Tablones de cerezo,cherry_planks,28
Dark Oak Planks,Tablones de roble oscuro,dark_oak_planks,29
Mangrove Planks,Tablones de mangle,mangrove_planks,30
Bamboo Planks,Tablones de bambú,bamboo_planks,31
Crimson Planks,Tablones carmesí,crimson_planks,32
Warped Planks,Tablones distorsionados,warped_planks,33
Bamboo Mosaic,Mosaico de bambú,bamboo_mosaic,34
Oak Sapling,Brote de roble,oak_sapling,35
Spruce Sapling,Brote de abeto,spruce_sapling,36
Birch Sapling,Brote de abedul,birch_sapling,37
Jungle Sapling,Brote de jungla,jungle_sapling,38
Acacia Sapling,Brote de acacia,acacia_sapling,39
Cherry Sapling,Brote de cerezo,cherry_sapling,40
Dark Oak Sapling,Brote de roble oscuro,dark_oak_sapling,41
Mangrove Propagule,Propágulo de mangle,mangrove_propagule,42
Sand,Arena,sand,44
Suspicious Sand,Arena sospechosa,suspicious_sand,45
Suspicious Gravel,Grava sospechosa,suspicious_gravel,46
Red Sand,Arena roja,red_sand,47
Gravel,Grava,gravel,48
Coal Ore,Mena de carbón,coal_ore,49
Deepslate Coal Ore,Mena de carbón de pizarra profunda,deepslate_coal_ore,50
Iron Ore,Mena de hierro,iron_ore,51
Deepslate Iron Ore,Mena de hierro de pizarra profunda,deepslate_iron_ore,52
Copper Ore,Mena de cobre,copper_ore,53
Deepslate Copper Ore,Mena de cobre de pizarra profunda,deepslate_copper_ore,54
Gold Ore,Mena de oro,gold_ore,55
Deepslate Gold Ore,Mena de oro de pizarra profunda,deepslate_gold_ore,56
Redstone Ore,Mena de redstone,redstone_ore,57
Deepslate Redstone Ore,Mena de redstone de pizarra profunda,deepslate_redstone_ore,58
Emerald Ore,Mena de esmeralda,emerald_ore,59
Deepslate Emerald Ore,Mena de esmeralda de pizarra profunda,deepslate_emerald_ore,60
Lapis Lazuli Ore,Mena de lapislázuli,lapis_ore,61
Deepslate Lapis Lazuli Ore,Mena de lapislázuli de pizarra profunda,deepslate_lapis_ore,62
Diamond Ore,Mena de diamante,diamond_ore,63
Deepslate Diamond Ore,Mena de diamante de pizarra profunda,deepslate_diamond_ore,64
Nether Gold Ore,Mena de oro del Nether,nether_gold_ore,65
Nether Quartz Ore,Mena de cuarzo del Nether,nether_quartz_ore,66
Ancient Debris,Escombros ancestrales,ancient_debris,67
Block of Coal,Bloque de carbón,coal_block,68
Block of Raw Iron,Bloque de hierro en bruto,raw_iron_block,69
Block of Raw Copper,Bloque de cobre en bruto,raw_copper_block,70
Block of Raw Gold,Bloque de oro en bruto,raw_gold_block,71
Block of Amethyst,Bloque de amatista,amethyst_block,72
Block of Iron,Bloque de hierro,iron_block,74
Block of Copper,Bloque de cobre,copper_block,75
Block of Gold,Bloque de oro,gold_block,76
Block of Diamond,Bloque de diamante,diamond_block,77
Block of Netherite,Bloque de netherita,netherite_block,78
Exposed Copper,Cobre expuesto,exposed_copper,79
Weathered Copper,Cobre degradado,weathered_copper,80
Oxidized Copper,Cobre oxidado,oxidized_copper,81
Cut Copper,Cobre cortado,cut_copper,82
Exposed Cut Copper,Cobre cortado expuesto,exposed_cut_copper,83
Weathered Cut Copper,Cobre cortado degradado,weathered_cut_copper,84
Oxidized Cut Copper,Cobre cortado oxidado,oxidized_cut_copper,85
Cut Copper Stairs,Escaleras de cobre cortado,cut_copper_stairs,86
Exposed Cut Copper Stairs,Escaleras de cobre cortado expuesto,exposed_cut_copper_stairs,87
